t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1717300380,318,1386,14.245283,1,104.638523,3.000000,5.000000,14.050000,62.240000,304.800000,1386.000000
1717300410,323,1386,14.055728,1,103.834032,3.000000,5.000000,14.000000,62.040000,295.800000,1386.000000
1717300440,333,1386,13.705706,1,102.277987,3.000000,4.000000,14.000000,61.640000,277.800000,1386.000000
1717300470,338,1386,13.535503,1,101.525984,3.000000,4.000000,14.000000,61.440000,268.800000,1386.000000
1717300500,348,1386,13.215517,1,100.069930,3.000000,4.000000,14.000000,61.040000,250.800000,1386.000000
1717300530,353,1386,13.059490,1,99.365312,3.000000,4.000000,14.000000,60.920000,241.800000,1386.000000
1717300560,363,1386,12.757576,0,97.999925,3.000000,4.000000,13.800000,60.720000,223.800000,1386.000000
1717300590,368,1386,12.619565,0,97.337313,3.000000,4.000000,13.550000,60.620000,214.800000,1386.000000
1717300620,378,1386,12.341270,0,96.052663,3.000000,4.000000,13.050000,60.420000,196.800000,1386.000000
1717300650,383,1386,12.206266,0,95.429269,3.000000,4.000000,12.800000,60.320000,187.800000,1386.000000
1717300680,393,1386,11.954198,0,94.217388,3.000000,4.000000,12.300000,60.120000,169.800000,1386.000000
1717300710,398,1386,11.836683,0,93.628135,3.000000,4.000000,12.050000,60.020000,160.800000,1386.000000
1717300741,408,1386,11.642157,0,92.479226,3.000000,4.000000,12.000000,59.100000,153.960000,1386.000000
1717300771,413,1386,11.542373,0,91.920878,3.000000,4.000000,12.000000,58.600000,151.160000,1386.000000
1717300801,423,1386,11.359338,0,90.833677,3.000000,4.000000,11.600000,57.600000,145.560000,1386.000000
1717300831,428,1386,11.275701,0,90.303800,3.000000,4.000000,11.100000,57.100000,142.760000,1386.000000
1717300861,438,1386,11.107306,0,89.271857,3.000000,4.000000,10.100000,56.100000,137.160000,1386.000000
1717300891,443,1386,11.049661,0,88.768050,3.000000,4.000000,11.600000,55.600000,134.360000,1386.000000
1717300921,453,1386,10.885210,0,87.787833,3.000000,4.000000,10.600000,52.600000,128.760000,1386.000000
1717300951,458,1386,10.796943,0,87.310409,3.000000,4.000000,10.100000,49.600000,125.960000,1386.000000
1717300981,468,1386,10.615385,0,86.379482,3.000000,4.000000,10.000000,43.600000,120.360000,1386.000000
1717301011,473,1386,10.528541,0,85.924951,3.000000,4.000000,10.000000,40.600000,117.560000,1386.000000
1717301041,483,1386,10.366460,0,85.036533,3.000000,4.000000,9.600000,34.600000,111.960000,1386.000000
1717301071,488,1386,10.288934,0,84.602395,3.000000,4.000000,9.100000,31.600000,109.160000,1386.000000
1717301101,498,1386,10.152610,0,83.753500,3.000000,4.000000,10.000000,25.600000,103.560000,1386.000000
1717301131,503,1386,10.089463,0,83.337826,3.000000,4.000000,9.600000,24.840000,101.400000,1386.000000
1717301161,513,1386,9.992203,0,82.526960,3.000000,4.000000,10.600000,24.440000,97.400000,1386.000000
1717301191,518,1386,9.918919,0,82.130370,3.000000,4.000000,10.100000,24.240000,95.400000,1386.000000
1717301221,528,1386,9.768939,0,81.354681,3.000000,4.000000,10.000000,23.840000,91.400000,1386.000000
1717301251,533,1386,9.701689,0,80.974627,3.000000,4.000000,10.000000,23.640000,89.400000,1386.000000
1717301281,543,1386,9.569061,0,80.230286,3.000000,4.000000,9.600000,23.240000,85.400000,1386.000000
1717301311,548,1386,9.514599,0,79.864956,3.000000,4.000000,9.100000,23.040000,83.400000,1386.000000
1717301341,558,1386,9.508961,0,79.150624,3.000000,4.000000,12.000000,22.280000,79.400000,1386.000000
1717301371,563,1386,9.460036,0,78.800616,3.000000,4.000000,12.000000,21.880000,77.400000,1386.000000
1717301401,573,1386,9.385689,0,78.113305,3.000000,4.000000,12.000000,21.080000,73.400000,1386.000000
1717301431,583,1386,9.308748,0,77.443854,3.000000,4.000000,12.000000,20.280000,69.400000,1386.000000
1717301461,593,1386,9.286678,0,76.791127,3.000000,4.000000,13.000000,21.240000,65.400000,1386.000000
1717301491,598,1386,9.242475,0,76.470595,3.000000,4.000000,13.000000,21.040000,63.400000,1386.000000
1717301521,608,1386,9.200658,0,75.841545,3.000000,4.000000,13.000000,20.640000,62.820000,1386.000000
1717301551,613,1386,9.197390,0,75.532047,3.000000,4.000000,13.000000,20.440000,62.720000,1386.000000
1717301581,623,1386,9.120385,0,74.925193,3.000000,4.000000,13.000000,20.040000,62.520000,1386.000000
1717301611,628,1386,9.084395,0,74.628399,3.000000,4.000000,13.000000,19.840000,62.420000,1386.000000
1717301641,638,1386,8.976489,0,74.045434,3.000000,4.000000,13.000000,19.440000,62.220000,1386.000000
1717301671,643,1386,8.926905,0,73.758716,3.000000,4.000000,13.000000,19.240000,62.120000,1386.000000
1717301701,653,1386,8.849923,0,73.195273,3.000000,4.000000,13.000000,19.000000,61.920000,1386.000000
1717301731,658,1386,8.814590,0,72.918371,3.000000,4.000000,13.000000,19.000000,61.820000,1386.000000
1717301761,668,1386,8.715569,0,72.374235,3.000000,4.000000,13.000000,19.000000,61.620000,1386.000000
1717301791,673,1386,8.686478,0,72.105978,3.000000,4.000000,13.000000,19.000000,61.520000,1386.000000
1717301821,683,1386,8.610542,0,71.580916,3.000000,4.000000,13.000000,19.000000,61.320000,1386.000000
1717301851,688,1386,8.562500,0,71.322211,3.000000,4.000000,13.000000,19.000000,61.220000,1386.000000
1717301881,698,1386,8.471347,0,70.812885,3.000000,4.000000,13.000000,19.000000,61.020000,1386.000000
1717301911,703,1386,8.425320,0,70.562391,3.000000,4.000000,13.000000,19.000000,60.960000,1386.000000
1717301941,713,1386,8.335203,0,70.069296,3.000000,4.000000,13.000000,19.000000,60.860000,1386.000000
1717301971,718,1386,8.289694,0,69.826701,3.000000,4.000000,13.000000,19.000000,60.810000,1386.000000
1717302001,728,1386,8.206044,0,69.348542,3.000000,4.000000,12.550000,19.000000,60.710000,1386.000000
1717302031,733,1386,8.159618,0,69.113595,3.000000,4.000000,12.300000,19.000000,60.660000,1386.000000
1717302061,743,1386,8.079408,0,68.649922,3.000000,4.000000,12.000000,19.000000,60.560000,1386.000000
1717302091,748,1386,8.037433,0,68.421766,3.000000,4.000000,12.000000,19.000000,60.510000,1386.000000
1717302121,758,1386,7.967018,0,67.972274,3.000000,4.000000,12.050000,18.820000,60.410000,1386.000000
1717302151,763,1386,7.927916,0,67.750653,3.000000,4.000000,12.000000,18.720000,60.360000,1386.000000
1717302181,773,1386,7.866753,0,67.313312,3.000000,4.000000,12.000000,18.520000,60.260000,1386.000000
1717302211,778,1386,7.845758,0,67.097170,3.000000,4.000000,12.000000,18.420000,60.210000,1386.000000
1717302241,788,1386,7.803299,0,66.671305,3.000000,4.000000,12.000000,18.220000,60.110000,1386.000000
1717302271,793,1386,7.781841,0,66.461191,3.000000,4.000000,12.000000,18.120000,60.060000,1386.000000
1717302301,803,1386,7.724782,0,66.047857,3.000000,4.000000,12.000000,18.000000,59.800000,1386.000000
1717302331,808,1386,7.710396,0,65.843646,3.000000,4.000000,12.000000,18.000000,59.550000,1386.000000
1717302361,818,1386,7.666259,0,65.441032,3.000000,4.000000,12.000000,18.000000,59.050000,1386.000000
1717302391,823,1386,7.637910,0,65.242782,3.000000,4.000000,12.000000,18.000000,58.800000,1386.000000
1717302421,833,1386,7.629052,0,64.853166,3.000000,4.000000,12.000000,18.320000,58.300000,1386.000000
1717302451,838,1386,7.599045,0,64.660378,3.000000,4.000000,12.000000,18.220000,58.050000,1386.000000
1717302481,848,1386,7.579009,0,64.279704,3.000000,4.000000,12.000000,18.020000,57.550000,1386.000000
1717302511,853,1386,7.565064,0,64.092451,3.000000,4.000000,12.300000,18.000000,57.300000,1386.000000
1717302541,863,1386,7.559676,0,63.721740,3.000000,4.000000,12.800000,18.000000,56.800000,1386.000000
1717302571,868,1386,7.582949,0,63.539097,3.000000,4.000000,13.000000,18.000000,56.550000,1386.000000
1717302601,878,1386,7.575171,0,63.177390,3.000000,4.000000,13.000000,18.000000,56.050000,1386.000000
1717302631,883,1386,7.553794,0,62.998886,3.000000,4.000000,13.000000,18.000000,55.800000,1386.000000
1717302661,893,1386,7.563270,0,62.650623,3.000000,4.000000,13.000000,18.120000,55.300000,1386.000000
1717302691,898,1386,7.560134,0,62.476442,3.000000,4.000000,13.000000,18.020000,55.050000,1386.000000
1717302721,908,1386,7.518722,0,62.132702,3.000000,4.750000,13.000000,18.000000,52.840000,1386.000000
1717302751,913,1386,7.497262,0,61.963011,3.000000,4.500000,13.000000,18.000000,51.640000,1386.000000
1717302781,923,1386,7.457205,0,61.627749,3.000000,4.000000,13.000000,18.000000,49.240000,1386.000000
1717302811,928,1386,7.480603,0,61.462872,3.000000,5.000000,13.000000,18.000000,48.040000,1386.000000
1717302841,938,1386,7.440299,0,61.135826,3.000000,5.000000,13.000000,18.000000,45.640000,1386.000000
1717302871,943,1386,7.422057,0,60.974099,3.000000,5.000000,13.000000,18.000000,44.440000,1386.000000
1717302901,953,1386,7.390346,0,60.654248,3.000000,5.000000,13.000000,17.840000,42.040000,1386.000000
1717302931,958,1386,7.381002,0,60.496258,3.000000,5.000000,13.000000,17.640000,40.840000,1386.000000
1717302961,968,1386,7.345041,0,60.183920,3.000000,5.000000,13.000000,17.240000,38.440000,1386.000000
1717302991,973,1386,7.330935,0,60.029480,3.000000,5.000000,13.000000,17.040000,37.240000,1386.000000
1717303021,983,1386,7.285860,0,59.724918,3.000000,5.000000,13.000000,16.640000,34.840000,1386.000000
1717303051,988,1386,7.289474,0,59.574574,3.000000,5.000000,13.000000,16.440000,33.640000,1386.000000
1717303082,998,1386,7.249499,0,59.276589,3.000000,5.000000,13.000000,16.040000,31.240000,1386.000000
1717303112,1003,1386,7.240279,0,59.128696,3.000000,5.000000,13.000000,16.000000,30.760000,1385.260000
1717303142,1013,1386,7.212241,0,58.837011,3.000000,5.000000,13.000000,16.000000,30.160000,1383.410000
1717303172,1018,1386,7.222004,0,58.693526,3.000000,5.000000,13.000000,16.000000,29.860000,1382.485000
1717303202,1028,1386,7.186770,0,58.408411,3.000000,5.000000,13.000000,16.000000,29.260000,1380.635000
1717303232,1033,1386,7.187743,0,58.408400,3.000000,5.000000,13.000000,16.000000,29.260000,1380.635000
1717303262,1043,1386,7.217899,0,58.408303,3.000000,5.000000,13.000000,16.000000,29.260000,1380.635000
1717303292,1048,1386,7.220817,0,58.408067,3.000000,5.000000,13.000000,16.000000,29.260000,1380.635000
1717303322,1058,1386,7.247082,0,58.410171,3.000000,5.000000,13.000000,16.840000,29.260000,1380.635000
1717303352,1063,1386,7.174125,0,58.386349,3.000000,5.000000,13.000000,16.000000,24.420000,1380.635000
1717303382,1073,1386,7.205253,0,58.387582,3.000000,5.000000,13.000000,16.840000,24.420000,1380.635000
1717303412,1078,1386,7.189689,0,58.387751,3.000000,5.000000,13.000000,16.840000,24.420000,1380.635000
1717303442,1088,1386,7.178016,0,58.389339,3.000000,5.000000,13.000000,16.840000,24.420000,1380.635000
1717303472,1093,1386,7.177043,0,58.389317,3.000000,5.000000,13.000000,16.840000,24.420000,1380.635000
1717303502,1103,1386,7.178016,0,58.389689,3.000000,5.000000,13.000000,16.840000,24.420000,1380.635000
1717303532,1108,1386,7.169261,0,58.390041,3.000000,5.000000,13.000000,16.840000,24.420000,1380.635000
1717303562,1118,1386,7.172179,0,58.390190,3.000000,5.000000,13.000000,16.840000,24.420000,1380.635000
1717303592,1123,1386,7.160506,0,58.390374,3.000000,5.000000,13.000000,16.840000,24.420000,1380.635000
1717303622,1133,1386,7.156615,0,58.391151,3.000000,5.000000,13.000000,16.840000,24.420000,1380.635000
1717303652,1138,1386,7.151751,0,58.391590,3.000000,5.000000,13.000000,16.840000,24.420000,1380.635000
1717303682,1148,1386,7.111868,0,58.390554,3.000000,5.000000,13.000000,16.000000,24.420000,1380.635000
1717303712,1153,1386,7.110895,0,58.390681,3.000000,5.000000,13.000000,16.000000,24.420000,1380.635000
1717303742,1163,1386,7.111868,0,58.391188,3.000000,5.000000,13.000000,16.000000,24.420000,1380.635000
1717303772,1168,1386,7.116732,0,58.391403,3.000000,5.000000,13.000000,16.000000,24.420000,1380.635000
1717303802,1178,1386,7.096304,0,58.391299,3.000000,5.000000,13.000000,16.000000,24.420000,1380.635000
1717303832,1183,1386,7.087549,0,58.391738,3.000000,5.000000,13.000000,16.000000,24.420000,1380.635000
1717303862,1193,1386,7.070039,0,58.392012,3.000000,5.000000,13.000000,16.000000,24.420000,1380.635000
1717303892,1198,1386,7.064202,0,58.392419,3.000000,5.000000,13.000000,16.000000,24.420000,1380.635000
1717303922,1208,1386,7.039883,0,58.393366,3.000000,5.000000,13.000000,16.000000,24.420000,1380.635000
1717303952,1213,1386,7.029183,0,58.393531,3.000000,5.000000,13.000000,16.000000,24.420000,1380.635000
1717303982,1223,1386,7.030156,0,58.393372,3.000000,5.000000,13.000000,16.000000,24.420000,1380.635000
1717304012,1228,1386,7.009728,0,58.393770,3.000000,4.000000,13.000000,16.000000,24.420000,1380.635000
1717304042,1238,1386,6.977626,0,58.393975,3.000000,4.000000,12.550000,16.000000,24.420000,1380.635000
1717304072,1243,1386,6.964981,0,58.393794,3.000000,4.000000,12.000000,16.000000,24.420000,1380.635000
1717304102,1253,1386,6.970817,0,58.393314,3.000000,4.000000,12.000000,16.000000,24.420000,1380.635000
1717304132,1258,1386,6.967899,0,58.393537,3.000000,4.000000,12.000000,16.000000,24.420000,1380.635000
1717304162,1268,1386,6.911479,0,58.393929,3.000000,4.000000,12.000000,16.000000,24.420000,1380.635000
1717304192,1273,1386,6.913424,0,58.393799,3.000000,4.000000,12.000000,16.000000,24.420000,1380.635000
1717304222,1283,1386,6.896887,0,58.393947,3.000000,4.000000,12.000000,16.000000,24.420000,1380.635000
1717304252,1288,1386,6.864786,0,58.393123,3.000000,4.000000,12.000000,16.000000,24.420000,1380.635000
1717304282,1298,1386,6.866732,0,58.394144,3.000000,4.000000,12.000000,16.000000,24.420000,1380.635000
1717304312,1303,1386,6.862840,0,58.394435,3.000000,4.000000,12.000000,16.000000,24.420000,1380.635000
1717304342,1313,1386,6.708171,0,58.201246,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304372,1318,1386,6.706226,0,58.201437,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304402,1328,1386,6.684825,0,58.202111,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304432,1333,1386,6.671206,0,58.201066,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304462,1343,1386,6.656615,0,58.201776,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304492,1348,1386,6.668288,0,58.201844,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304522,1358,1386,6.641051,0,58.201381,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304552,1363,1386,6.636187,0,58.201727,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304582,1373,1386,6.608949,0,58.201550,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304612,1378,1386,6.605058,0,58.201775,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304642,1388,1386,6.605058,0,58.201825,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304672,1393,1386,6.603113,0,58.201979,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304702,1403,1386,6.596304,0,58.202409,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304732,1408,1386,6.582685,0,58.203016,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304762,1418,1386,6.578794,0,58.203289,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304792,1423,1386,6.578794,0,58.203238,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304822,1433,1386,6.584630,0,58.203180,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304852,1438,1386,6.580739,0,58.203537,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304882,1448,1386,6.575875,0,58.203761,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304912,1453,1386,6.571012,0,58.204068,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304942,1463,1386,6.559339,0,58.204332,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717304972,1468,1386,6.555447,0,58.204570,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717305002,1478,1386,6.550584,0,58.204893,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717305032,1483,1386,6.549611,0,58.204994,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
1717305062,1493,1386,6.562257,0,58.205567,3.000000,4.000000,12.000000,16.000000,21.840000,1380.635000
